Emotions,NegFeel,PosFeel,SureFeel,UncertFeel
CONTENT,FEEBLE,MAGNIFICENT,GIVE,KIND
CONTENTMENT,FOREIGN,MARVELOUS,GOOD,LIKELY
CONTROVERSY,FROWN,NICE,GREAT,MAY
COOLNESS,GHASTLY,OKAY,HONEST,MAYBE
COURAGE,GODDAMN,PATIENT,IMMODERATE,MIGHT
CRAZY,GRAVE,PLEASANT,INCONCEIVABLE,NEAR
CREATIVE,GRIM,PLEASE,INCONTESTABLE,OUTSIDE
CROSS,GROSS,PLEASED,INDEED,PART
CUPID,GROTESQUE,PLEASURE,INDISPUTABLE,PEND
CURIOSITY,GRUDGE,PREFER,INESTIMABLE,PERHAPS
CURIOUS,GRUMBLE,PREFERABLE,INEVITABILITY,PERTURB
DEJECTED,HATE,PREFERABLY,INEVITABLE,POSSIBILITY
DELIGHT,HATRED,PREFERENCE,INFALLIBLE,POSSIBLE
DEPRESS,HIDEOUS,REJOICE,INFINITE,POSSIBLY
DEPRESSION,HORRIBLE,REWARD,INSISTENT,POSTPONE
DESIRE,HORROR,SALUTARY,INSTRUMENTAL,PRACTICAL
DESOLATION,HOT,SANGUINE,INTENSE,PROBABLE
DESPAIR,HUMILIATE,SETTLE,INTENSIVE,PROVIDE
DESPERATE,ILL,SMILE,INVARIABLY,QUANDARY
DESPERATION,INCONVENIENCE,SOUND,IRREFUTABLE,RELUCTANT
DETERMINE,INCONVENIENT,SPORT,LEAST,ROAD
DETEST,INEXCUSABLE,SUIT,LENGTH,ROUGH
DEVOTE,INFERIOR,SYMPATHETIC,LET,SAY
DEVOTION,INORDINATE,THANK,MAD,SEEM
DISAPPOINT,INSIDIOUS,TREAT,MAIN,SENSE
DISAPPOINTMENT,INSOLUABLE,TRIUMPH,MARK,SHIFT
DISCOURAGE,INTOLERABLE,TRIUMPHANT,MATERIAL,SKEPTICAL
DISGUST,IRRITABLE,TRUST,MATTER,SOMEWHAT
DISHEARTEN,IRRITATION,UNDAUNTED,MEAN,SORT
DISILLUSION,JERK,UNSURPASSABLE,MERE,SUSPICIOUS
DISLIKE,MAD,USEFUL,NECESSARY,TEND
DISMAY,MALADJUSTMENT,WARM,OBVIOUS,TENDENCY
DISPLEASURE,MALICE,WARMTH,ONCE,TENTATIVE
DISTRESS,MALICIOUS,WELCOME,PARAMOUNT,TERM
DISTURB,MALIGNANT,WELL,PARTICULAR,TEST
DOUBT,MAR,WHOLE-HEARTED,POINT,TOUCH
DOWNHEARTED,MATTER,WHOLEHEARTED,POSITIVE,UNCERTAIN
DREAD,MESS,WIT,PRECISE,UNDECIDED
EAGER,MISFORTUNE,WONDER,PRINCIPAL,UNDEFINED
ECSTASY,NAG,WONDERFUL,PROVE,UNEASINESS
ECSTATIC,NEGLECT,,PURELY,UNEASY
EDGE,OBNOXIOUS,,PURPOSE,UNEXPECTED
ELATE,PERILOUS,,QUITE,UNLESS
EMOTION,PERNICIOUS,,RATHER,UNPREDICTABLE
EMOTIONAL,POOR,,REAFFIRM,UNSTABLE
EMPATHY,PREJUDICIAL,,REAL,UNSTEADY
ENCHANTMENT,PUNY,,REMARKABLE,UNSURE
ENJOYMENT,QUARREL,,REMARKABLY,VACILLATE
ENRAGE,RAGE,,RIGHT,WARY
ENTHUSIASM,REACTIONARY,,SAY,WATCH
ENTHUSIASTIC,RECRIMINATE,,SHARP,WATCHFUL
EXASPERATION,REPULSIVE,,SIGNIFICANCE,WELL
EXCITED,RESENT,,SIGNIFICANT,WHETHER
EXCITEMENT,RESENTMENT,,SPECIFICALLY,WHOLE
EXHAUSTION,REVOLT,,STAND,WONDER
FAITH,SCAPEGOAT,,SURE,YET
FEAR,SCARE,,THOROUGH,
FEARFUL,SCARED,,TRUE,
FEARSOME,SCORN,,UNAVOIDABLE,
FED,SCREAM,,UNCONDITIONAL,
FEEL,SEVER,,UNDENIABLE,
FEROCIOUS,SEVERE,,UNDISPUTED,
FICKLE,SEVERITY,,UNDOUBTABLY,
FIERCE,SICK,,UNDOUBTED,
FLIRT,SINISTER,,UNEQUIVOCAL,
FONDNESS,SLAM,,UNFAILING,
FORLORN,SNARL,,UNIQUE,
FRANTIC,SORT,,UNIVERSAL,
FRIENDLY,SPITE,,UNLIMITED,
FRIGHTEN,SPLIT,,UNMISTAKABLE,
FRUSTRATE,STERN,,UNMITIGATED,
FRUSTRATION,STICK,,UNPARALLELED,
FURIOUS,STONE,,UNPRECEDENTED,
FURY,STRIKE,,UNQUESTIONABLE,
GAIETY,SUDDEN,,UNSHAKEN,
GAILY,TEDIOUS,,UNUSUAL,
GALL,TERRIBLE,,UNWAVERIMG,
GAY,THORN,,UTMOST,
GLAD,TIRE,,UTTERLY,
GLADNESS,TIRED,,VERY,
GLEE,TREMBLE,,VIRTUAL,
GLOOMY,TROUBLE,,WHITE,
GLUM,TROUBLESOME,,YES,
GRATEFUL,TURN,,,
GRATIFICATION,UGLY,,,
GRIEF,UNFAVORABLE,,,
GRIEVE,UNFIT,,,
GUILT,UNLUCKY,,,
HAPPINESS,UNNATURAL,,,
HAPPY,UNPLEASANT,,,
HATE,UNSATISFACTORY,,,
HATRED,UNSOUND,,,
HAUGHTY,UNSPEAKABLE,,,
HEARTLESS,UNSUITABLE,,,
HOPEFUL,UPSET,,,
HORROR,USELESS,,,
HOSTILE,VEXATIOUS,,,
HOSTILITY,VICIOUS,,,
HUMILIATION,VILE,,,
HURT,VINDICTIVE,,,
HURTFUL,WANTON,,,
HYSTERIA,WITHHELD,,,
HYSTERICAL,WITHHOLD,,,
INDIFFERENCE,WORSE,,,
INDIFFERENT,WORST,,,
INDIGNATION,WORTHLESS,,,
INTEREST,WRONG,,,
INTIMACY,,,,
INTOLERABLE,,,,
IRRITABLE,,,,
JITTERY,,,,
JOLLY,,,,
JOY,,,,
JOYFUL,,,,
JUBILANT,,,,
LAMENT,,,,
LAMENTABLE,,,,
LIKE,,,,
LONESOME,,,,
LONG,,,,
LOVE,,,,
LUST,,,,
MAD,,,,
MELANCHOLY,,,,
MERRILY,,,,
MERRIMENT,,,,
MERRY,,,,
MIRTH,,,,
MISERABLE,,,,
MIX,,,,
MOOD,,,,
MOODY,,,,
MORTIFY,,,,
MOTIVATED,,,,
MOURNER,,,,
MYSELF>,,,,
NERVOUS,,,,
NERVOUSNESS,,,,
NEUROTIC,,,,
NUMB,,,,
OPPRESSIVE,,,,
OUTRAGE,,,,
OVERJOYED,,,,
PANIC,,,,
PARANOID,,,,
PASSION,,,,
PASSIONATE,,,,
PHOBIA,,,,
PITY,,,,
PLEASURABLE,,,,
PLEASURE,,,,
PLIGHT,,,,
POUT,,,,
PREJUDICE,,,,
PRIDE,,,,
PROUD,,,,
RAGE,,,,
REGRET,,,,
REGRETTABLE,,,,
RELAXATION,,,,
RELIEVE,,,,
RELIGIOUS,,,,
RELISH,,,,
REMORSE,,,,
RESENTFUL,,,,
RESENTMENT,,,,
RESTLESS,,,,
RESTLESSNESS,,,,
ROMANCE,,,,
ROMANTIC,,,,
SAD,,,,
SADNESS,,,,
SANGUINE,,,,
SATISFACTION,,,,
SATISFY,,,,
SCARE,,,,
SCARED,,,,
SCARY,,,,
SCORN,,,,
SCORNFUL,,,,
SECURE,,,,
SENSITIVE,,,,
SENSITIVITY,,,,
SENTIMENT,,,,
SENTIMENTAL,,,,
SERENE,,,,
SHAME,,,,
SHAMEFUL,,,,
SHAMELESS,,,,
SHOCK,,,,
SHY,,,,
SICK,,,,
SMITTEN,,,,
SOB,,,,
SOLEMN,,,,
SOMBER,,,,
SORE,,,,
SORENESS,,,,
SORROW,,,,
SORROWFUL,,,,
SORRY,,,,
SPITE,,,,
SPITEFUL,,,,
SUFFER,,,,
SURPRISE,,,,
SUSPICION,,,,
SYMPATHETIC,,,,
SYMPATHY,,,,
TENDERNESS,,,,
TENSE,,,,
TENSION,,,,
TERRIFY,,,,
TERROR,,,,
THOUGHTLESS,,,,
TOLERABLE,,,,
TORTUROUS,,,,
TOUCH,,,,
TOUCHY,,,,
TRAGEDY,,,,
TRAUMATIC,,,,
TRIUMPHANT,,,,
TROUBLE,,,,
TRUST,,,,
UNCOMFORTABLE,,,,
UNDERSTAND,,,,
UNEASINESS,,,,
UNEASY,,,,
UNHAPPINESS,,,,
UNHAPPY,,,,
UNNERVE,,,,
UNSETTLING,,,,
UNSPEAKABLE,,,,
UPSET,,,,
WALLOW,,,,
WARMTH,,,,
WARY,,,,
WEARY,,,,
WEEP,,,,
WHIMPER,,,,
WILLING,,,,
WILLINGNESS,,,,
WISH,,,,
WOEFUL,,,,
WONDER,,,,
WORRY,,,,
