Strong,Weak,Active,Passive,Politics
AUTHORIZE,DEFENSIVE,ATTACK,COMMONER,LIBERTY
AUTOCRAT,DEFICIENCY,ATTAIN,COMPLETE,LORD
AUTOCRATIC,DEFICIENT,ATTAINMENT,COMPLICITY,LOYAL
AUTONOMOUS,DEGENERATE,ATTEMPT,COMPLY,LOYALTY
AVAIL,DEJECTED,ATTEND,COMPRISE,MAYOR
AVENGE,DELAY,ATTENDANCE,COMPROMISE,MEDICARE
AWARD,DELICATE,ATTENDANT,CONCEDE,METROPOLIS
AWARE,DELINQUENCY,AUGMENT,CONCEIVABLE,METROPOLITAN
AWARENESS,DELINQUENT,AUTHORIZE,CONCEIVE,MIDDLE-CLASS
AWFUL,DELIRIUM,AVENGE,CONCEPTION,MIGHT
AXE,DELUSION,AWARD,CONCERN,MINISTRY
BACK,DEMISE,AX,CONCESSION,MINORITY
BACKBONE,DEPEND,BABBLE,CONDENSATION,MINUTEMEN
BACKER,DEPENDENCE,BACK,CONDITION,MUNICIPAL
BALANCE,DEPENDENT,BAIL,CONFESS,MUNICIPALITY
BALL,DEPRECIATE,BAIT,CONFESSION,NATION
BAND,DEPRESS,BANISH,CONFIDE,NATIONAL
BANISH,DEPRESSION,BAPTIZE,CONFLICT,NOMINATE
BAR,DESCEND,BAR,CONFORM,NOMINATION
BASE,DESERT,BARGAIN,CONFORMITY,PALACE
BATTLE,DESOLATE,BATTLE,CONFUSE,PARLIAMENT
BEAR,DESPAIR,BEAT,CONSENT,PARTISAN
BEAT,DESPERATE,BEAUTIFY,CONSEQUENCE,PARTY
BEAUTIFY,DESTITUTE,BECKON,CONSEQUENT,PATRIOT
BELT,DEVOID,BEFRIEND,CONSERVATIVE,PATRIOTIC
BENEFIT,DIMINISH,BEG,CONSIST,PETITION
BESTOW,DIRE,BEGAN,CONSTITUTE,PLATFORM
BEWARE,DISADVANTAGE,BEGIN,CONTEMPLATE,PLEDGE
BIG,DISADVANTAGEOUS,BEGUN,CONTEMPLATION,POLITICAL
BLAST,DISASTER,BEHAVE,CONTENT,POLITICIAN
BLATANT,DISASTROUS,BEHAVIOR,CONTRACT,POLITICS
BLIND,DISCONCERTED,BELIE,CONTROL,POLL
BLOC,DISCONTENT,BELT,CONVICT,POWER
BLOCK,DISCORD,BEQUEATH,CONVINCED,POWERFUL
BLOCKADE,DISCOURAGEMENT,BESEECH,COOL,PRECINCT
BLOODTHIRSTY,DISEASED,BESIEGE,COPE,PRESIDENCY
BLOW,DISGRACE,BESTOW,CORRODE,PRESIDENT
BLUNT,DISGUST,BET,COVER,PRESIDENTIAL
BODY,DISHEARTEN,BETROTH,COVET,PRIMARY
BOISTEROUS,DISHONEST,BETTER,COWARD,PRINCE
BOLD,DISHONOR,BID,CRAVE,PROPAGANDA
BOLDNESS,DISINGENUOUS,BIT,CREATURE,PROVINCE
BOLSTER,DISMAL,BITE,CRINGE,QUEEN
BOND,DISORDER,BLACKMAIL,CROAK,RADICAL
BOOM,DISORGANIZED,BLAST,CRUMBLE,RALLY
BOOST,DISPENSABILITY,BLOCK,CRUMPLE,REACTIONARY
BORE,DISPLEASE,BLOOM,CRY,REBELLIOUS
BOSS,DISPLEASURE,BLOSSOM,CURIOSITY,REDS
BOUND,DISSATISFY,BLOW,CURIOUS,REFORM
BOUNDLESS,DISTRESS,BLUNDER,CURSORY,REFUGEE
BOUNTIFUL,DIVIDE,BLUR,DEAD,REGIME
BOX,DIVISION,BLURT,DEARTH,REINSTATE
BOXER,DOOM,BOAST,DEATH,REPRESENTATIVE
BRACE,DOUBTFUL,BOIL,DECAY,REPUBLIC
BRANDISH,DREADFUL,BOLD,DECLINE,REPUBLICAN
BRAVADO,DROOP,BOLSTER,DECOMPOSE,REVOLT
BRAVE,DROP,BOLT,DECREASE,REVOLUTION
BRAVERY,DROWN,BOMBARD,DEEM,REVOLUTIONARY
BRAZEN,DRUNK,BOOST,DEFENSIVE,ROAD
BREACH,DRUNKARD,BOOT,DEFER,ROYAL
BREAK,DRUNKEN,BORE,DEGENERATE,ROYALTY
BRIDGE,DULL,BOSS,DELAY,RULE
BROAD,DUMB,BOTHER,DEMISE,RULER
BROADEN,DYING,BOUGHT,DEPEND,RUN
BROADNESS,EDGE,BOUNCE,DEPENDENCE,SECEDE
BROKE,ELASTIC,BOUT,DEPENDENT,SECESSION
BROTHERHOOD,ELASTICITY,BOX,DEPLORE,SECURITY
BRUTALITY,ELDERLY,BOXER,DEPRECIATE,SENATE
BUILD,EMBARRASSMENT,BOYCOTT,DEPRECIATION,SENATOR
BULK,EMPLOYEE,BRAG,DEPRESS,SETTLEMENT
BUOYANT,EMPTY,BRANCH,DESERT,SHIP
BURST,ENTREAT,BRANDISH,DESIRE,SIEGE
BUSY,EQUIVOCAL,BRAWL,DESPAIR,SOCIAL
BUTCHERY,ERR,BREACH,DEVOTION,SOCIALISM
CAN,ERRONEOUS,BREAK,DIMINISH,SOCIALIST
CANDID,EXCUSE,BREED,DISAPPEAR,SOCIETY
CANDOR,EXPIRE,BRING,DISAPPEARANCE,SOVEREIGN
CANNON,FAIL,BROKE,DISAPPOINT,SOVEREIGNTY
CAPABILITY,FAILURE,BRUTALITY,DISAPPOINTMENT,SPOKESMAN
CAPABLE,FAINT,BUILD,DISCERNIBLE,STATE
CAPACITY,FALL,BURN,DISCIPLE,STATESMAN
CAPITAL,FALTER,BURST,DISCIPLINE,STATESMEN
CAPITALIZE,FAMINE,BURY,DISCONCERTED,SUFFRAGE
CAPTURE,FATIGUE,BUSY,DISCONTENT,SURRENDER
CARRY,FAULT,BUTCHERY,DISCOUNT,TABLE
CAST,FEAR,BUY,DISCOURAGE,TACTIC
CATCH,FEARFUL,CALCULATE,DISGUST,TACTICS
CAUGHT,FEEBLE,CALCULATION,DISLIKE,TARIFF
CAUSAL,FEMININE,CAMP,DISORGANIZED,TORY
CAUSE,FEVER,CAMPAIGN,DISPLEASE,TREASON
CAVALRY,FEVERISH,CAMPAIGNER,DISPLEASURE,TREASONOUS
CEMENT,FEW,CANVAS,DISPOSITION,TREATISE
CENTER,FIASCO,CAPITALIZE,DISTRESS,TREATY
CENTRAL,FICKLE,CAPTURE,DISTURB,TRIBAL
CERTAIN,FIDGET,CARE,DIVIDE,TRIBE
CERTAINTY,FLATTER,CARRY,DOOM,TYRANNY
CHAIRMAN,FLATTERY,CAST,DOUBT,UNDERWORLD
CHAIRMEN,FLAW,CATCH,DREAD,UNIMPEACHABLE
CHALLENGE,FLED,CAUGHT,DREADFUL,UNION
CHAMP,FLEE,CAUSAL,DREAM,USURP
CHAMPION,FLIMSY,CAUSE,DREAMER,UTOPIA
CHAMPIONSHIP,FLOUNDER,CELEBRATE,DREAMT,UTOPIAN
CHARGE,FOIBLE,CELEBRATION,DRIFT,VICE
CHARISMA,FOLLOW,CENSOR,DRIFTER,VICTORY
CHIEF,FOOL,CENSURE,DROOP,VILLAGER
CIRCLE,FOOLISH,CHALLENGE,DROP,VOTE
CLEVER,FOOLISHNESS,CHAMPION,DROWN,VOTER
CLIMAX,FORFEIT,CHANGE,DROWSINESS,WAR
CLIMB,FORGET,CHARGE,DROWSY,WARLIKE
CLOUT,FORGOT,CHART,DRUNK,WELFARE
CLUSTER,FORGOTTEN,CHASE,DRUNKEN,WHITE
COCKINESS,FORLORN,CHASTISE,DULL,
COCKY,FORSAKE,CHEAPEN,DUMB,
COGENT,FOUNDER,CHECK,DWELL,
COHERENT,FRACTURE,CHEER,DYING,
COHESION,FRAGILE,CHIDE,EFFECT,
COLLABORATION,FRAIL,CIRCLE,ELAPSE,
COLLAR,FRANTIC,CIRCULATION,EMOTION,
COLLECT,FRAUD,CIVILITY,EMOTIONAL,
COLLECTIVE,FRAUDULENT,CLARIFY,END,
COLONEL,FRET,CLASH,ENDURE,
COMBAT,FRETFUL,CLASSIFICATION,ENJOY,
COMBINE,FRUITLESS,CLASSIFY,ENJOYMENT,
COMBUSTION,FUMBLE,CLEAN,ENTITY,
COMEBACK,FUSS,CLEANSE,ERODE,
COMFORT,FUTILITY,CLIMB,EVIDENT,
COMFORTABLE,GENTLE,CLING,EVIDENTLY,
COMMAND,GINGERLY,CLOSE,EVOLUTION,
COMMANDER,GIVE,CLUNG,EVOLVE,
COMMISSION,GRIEF,COACH,EXALT,
COMMISSIONER,GUILTY,COAX,EXCITED,
COMMUNITY,GULLIBLE,CODDLE,EXCITEMENT,
COMPANY,HACK,COERCE,EXCUSE,
COMPEL,HAGGARD,COINCIDENT,EXPECT,
COMPENSATE,HALFWAY,COLLABORATE,EXPECTATION,
COMPETE,HANDFUL,COLLABORATION,EXPERIENCE,
COMPETENCE,HANDICAP,COLLAR,EXPERIENCER,
COMPETENCY,HANG,COLLECT,EXPERIENTIAL,
COMPETENT,HAPLESS,COLLIDE,EXPIRE,
COMPLETE,HARD,COLLUSION,EXPLODE,
COMPOSURE,HARMLESS,COMBAT,EXPRESSION,
COMPOUND,HAVE,COMBINATION,EXPRESSIVE,
COMPRESS,HAZINESS,COMBINE,EXTEND,
COMPRESSION,HEDGE,COMBUSTION,EXTOL,
COMPULSION,HELP,COME,EXULT,
CONCENTRATE,HELPLESS,COMEBACK,EXULTATION,
CONCENTRATION,HELPLESSNESS,COMMAND,EYE,
CONCRETE,HESITANT,COMMANDER,FADE,
CONDEMN,HESITATE,COMMEMORATE,FAIL,
CONFIDENCE,HESITATION,COMMENCE,FAILURE,
CONFIDENT,HIDE,COMMEND,FAINT,
CONFINE,HOBBLE,COMMERCE,FAITH,
CONFIRM,HOLE,COMMERCIAL,FAITHFUL,
CONFIRMATION,HOLLOW,COMMIT,FALL,
CONFRONT,HOPELESS,COMMITMENT,FAN,
CONFRONTATION,HUDDLE,COMMOTION,FATIGUE,
CONGREGATION,HUMBLE,COMPARE,FAVOR,
CONGRESS,HUNG,COMPARISON,FEAR,
CONGRESSIONAL,HYSTERICAL,COMPEL,FEARFUL,
CONGRESSMAN,IGNORANCE,COMPENSATE,FED,
CONGRESSMEN,IGNORANT,COMPENSATION,FEEBLE,
CONJURE,ILL,COMPETE,FEEL,
CONQUER,ILLITERATE,COMPETITION,FEVER,
CONQUEROR,ILLNESS,COMPETITIVE,FEVERISH,
CONSENT,ILLOGICAL,COMPILE,FIGURE,
CONSIDERABLE,IMITATION,COMPLAIN,FIND,
CONSISTENCY,IMMATURE,COMPLAINT,FLATTER,
CONSISTENT,IMPLORE,COMPLIMENT,FLATTERY,
CONSOLIDATE,IMPRISONMENT,COMPREHEND,FLAVOR,
CONSTABLE,INABILITY,COMPRESS,FLOAT,
CONSTANT,INADEQUATE,COMPRESSION,FLOUNDER,
CONSTITUTE,INCAPABLE,COMPULSION,FLUX,
CONSTITUTION,INCOMPLETE,COMPUTE,FOLLOW,
CONSTITUTIONAL,INCORRECT,CONCENTRATE,FOLLOWER,
CONSTRAIN,INDEBTED,CONCENTRATION,FORCE,
CONSTRAINT,INDECISION,CONCLUDE,FORESEE,
CONSTRUCT,INDECISIVE,CONCLUSION,FORFEIT,
CONSTRUCTION,INDECISIVENESS,CONCUR,FORGET,
CONSTRUCTIVE,INDIRECT,CONDITION,FORGIVEN,
CONSUMPTIVE,INFANT,CONDONE,FORGOT,
CONTAIN,INFERIOR,CONDUCT,FORGOTTEN,
CONTEND,INFERIORITY,CONFER,FORSAKE,
CONTENTION,INJURIOUS,CONFINE,FORTUNATE,
CONTEST,INJURY,CONFISCATE,FOSSILIZE,
CONTINUAL,INSECURE,CONFLICT,FOUNDER,
CONTINUE,INSECURITY,CONFRONT,FRACTURE,
CONTINUITY,INSIGNIFICANT,CONFRONTATION,FROWN,
CONTINUOUS,INSTABILITY,CONGRATULATE,FRUSTRATE,
CONTRACT,INSTABLE,CONGREGATE,FRUSTRATION,
CONTRIBUTE,INSUFFICIENCY,CONJURE,GAZE,
CONTRIBUTION,INSUFFICIENT,CONNECT,GENTLE,
CONTROL,INTERIM,CONNECTION,GIVE,
CONTROLLER,INTOLERABLE,CONQUER,GLAD,
CONVERT,IRRESPONSIBLE,CONSERVE,GLANCE,
CONVICT,KNEEL,CONSIGN,GLIMMER,
CONVICTION,KNELT,CONSOLE,GLIMPSE,
CONVINCE,LACK,CONSPIRE,GLOOM,
COOPERATE,LAG,CONSTRUCT,GLOOMY,
COOPERATION,LAME,CONSTRUCTION,GONE,
COOPERATIVE,LANGUISH,CONSUME,GRIEF,
COORDINATE,LAZILY,CONSUMMATE,GROW,
COORDINATION,LAZY,CONSUMPTION,GROWN,
COP,LEAN,CONSUMPTIVE,GROWTH,
CORE,LEAST,CONTACT,GUIDE,
CORPORAL,LESS,CONTAIN,GUILT,
CORPORATE,LIABILITY,CONTAMINATE,GUILTY,
CORPORATION,LIFELESS,CONTEND,HABIT,
CORRECT,LIGHT,CONTENTION,HABITUAL,
COUNCIL,LIMIT,CONTEST,HANG,
COUNTERACT,LIMP,CONTINUAL,HAPLESS,
COUNTERACTION,LITTLE,CONTINUE,HAPPEN,
COUNTLESS,LONE,CONTINUITY,HARD,
COURAGE,LONELINESS,CONTINUOUS,HARM,
COURAGEOUS,LONELY,CONTRIBUTE,HARMLESS,
COURT,LONER,CONTRIBUTION,HATE,
CREAM,LONG,CONTROL,HATER,
CREATE,LOOK,CONVENE,HATRED,
CREATION,LOSE,CONVERT,HAVE,
CREATOR,LOSER,CONVEY,HEAP,
CROWD,LOSS,CONVICT,HEAR,
CRUSH,LOST,CONVINCE,HEARER,
CRUSHING,LOW,COOPERATE,HEAT,
CUMBERSOME,LOWER,COOPERATION,HEED,
CUMULATIVE,LOWLY,COOPERATIVE,HELP,
CURB,MAD,COORDINATE,HELPLESS,
CUT,MALADJUSTED,COPY,HESITANT,
DAMAGE,MALADJUSTMENT,COUNTERACT,HESITATE,
DARING,MALADY,COUNTERACTION,HESITATION,
DAUNTLESS,MEAGER,COURT,HIDDEN,
DAZZLE,MEANINGLESS,COVER,HIT,
DEADLY,MEDIOCRE,CRACK,HOLD,
DEAN,MEEK,CRAM,HOLE,
DECIDE,MELT,CRAMP,HOMAGE,
DECISION,MENIAL,CRAWL,HONOR,
DECISIVE,MERE,CREAM,HOPE,
DECLARATION,MIND,CREATE,HOPEFUL,
DECLARE,MINIMAL,CREATION,HOPELESS,
DEDICATE,MINIMUM,CREATIVE,HUDDLE,
DEDICATION,MINOR,CREATIVITY,HUMBLE,
DEEP,MINORITY,CREATOR,HUNCH,
DEEPEN,MISERABLE,CREEP,HUNG,
DEFEAT,MISERY,CREPT,HURT,
DEFEND,MISFORTUNE,CRIPPLE,HYSTERICAL,
DEFENDER,MIX,CROSS,IDENTIFICATION,
DEFENSE,MODEST,CROWD,IDENTIFY,
DEFIANCE,MOMENTARY,CRUSH,IDLE,
DEFIANT,MOURN,CUDDLE,ILL,
DEFINITE,MURMUR,CULMINATE,ILLNESS,
DEFINITIVE,MUTTER,CULTIVATE,ILLUSION,
DEFY,MYSELF>,CURB,IMAGINARY,
DELIBERATE,NAIVE,CURTAIL,IMAGINATION,
DELIVER,NAME,CURTSEY,IMAGINE,
DELIVERY,NARROW,CUT,IMPATIENCE,
DELUGE,NEED,DAMAGE,IMPLY,
DEMAND,NEEDY,DANCE,IMPRESS,
DEMOLISH,NEGLIGIBLE,DASH,IMPROVE,
DEMONSTRATE,NERVOUS,DAWDLE,IMPULSE,
DEMONSTRATION,NERVOUSNESS,DAZZLE,INABILITY,
DEMORALIZE,NEWBORN,DEAL,INADEQUATE,
DENSE,NOMINAL,DEBATE,INCAPABLE,
DENSITY,NOTHING,DECEASE,INCLINATION,
DEPENDABILITY,NOVICE,DECEIVE,INCLINE,
DEPENDABLE,OBEY,DECEPTION,INDEBTED,
DEPLOY,OBLIGE,DECIDE,INDECISION,
DEPRIVE,OBSOLETE,DECIPHER,INDECISIVE,
DEPTH,OCCASION,DECISION,INDECISIVENESS,
DESERVEDLY,OCCASIONAL,DECISIVE,INDEFINITE,
DESIGNATE,OLD,DECORATE,INDIFFERENCE,
DESPISE,OMISSION,DEDUCE,INFORM,
DESTINY,OMIT,DEDUCT,INHERENT,
DESTROY,ONLY,DEEPEN,INHERIT,
DESTRUCTIVE,ORDER,DEFAME,INHIBITION,
DETER,OVERWORKED,DEFAULT,INJURE,
DETERMINATION,OWE,DEFEAT,INSECURE,
DETERMINE,PALE,DEFEND,INSECURITY,
DETERRENT,PALTRY,DEFENDER,INSIGHT,
DETRIMENTAL,PANIC,DEFENSE,INSTABILITY,
DEVASTATE,PARALYSIS,DEFILE,INSTABLE,
DEVELOP,PARALYZED,DEFY,INSTINCT,
DEVELOPMENT,PARANOID,DEGRADE,INTACT,
DEVOUT,PARTIAL,DELIBERATE,INTEND,
DEXTERITY,PASS,DELIVER,INTEREST,
DICTATOR,PASSE,DELIVERY,INTERESTED,
DICTATORSHIP,PASSIVE,DEMAND,INTIMATE,
DIGNIFIED,PATHETIC,DEMEAN,INTRIGUE,
DIGNITY,PATIENT,DEMOLISH,INTUITION,
DILIGENT,PAUSE,DEMONSTRATE,INTUITIVE,
DIN,PAY,DEMONSTRATION,IRK,
DIRECT,PEASANT,DENOUNCE,IRRATIONAL,
DIRECTOR,PERPLEX,DENT,IRRITABLE,
DISCHARGE,PETITION,DEPART,IRRITATION,
DISCIPLINE,PETITIONER,DEPARTURE,KNEEL,
DISPLACEMENT,PHOBIA,DEPLOY,KNELT,
DISPOSE,PIECE,DEPOSE,KNEW,
DISSOLVE,PITIFUL,DEPOSITION,KNOW,
DISTINGUISHED,PLEA,DEPRIVE,KNOWN,
DIVIDE,PLEAD,DERIDE,LACK,
DIVINE,PLOD,DERIVE,LAG,
DIVINITY,POINTLESS,DESCRY,LANGUISH,
DO,POLITE,DESIGN,LATE,
DOMINANT,POOR,DESIGNATE,LATENT,
DOMINATE,POVERTY,DESTROY,LAUGH,
DOMINATION,POWERLESS,DESTRUCTION,LAUGHTER,
DONE,PRECARIOUS,DESTRUCTIVE,LAY,
DOUBLE,PREMATURE,DETAIN,LAZY,
DOUBTLESS,PRESS,DETECT,LEAK,
DRAW,PREY,DETECTION,LEISURE,
DRIVE,PRISONER,DETECTIVE,LIE,
DURABILITY,PROCRASTINATE,DETER,LIKE,
DURABLE,PROCRASTINATION,DETERMINATION,LIMIT,
DUTY,PROVISIONAL,DETERMINE,LISTEN,
DYNAMIC,PUNY,DETEST,LISTENER,
EAGER,PUZZLEMENT,DETRACT,LOAD,
EARN,QUAINT,DEVASTATE,LONE,
EARNER,QUANDARY,DEVELOP,LONELINESS,
EARNEST,QUIT,DEVELOPMENT,LONELY,
EDITOR,QUITTER,DEVIATE,LONER,
EDUCATE,RANDOM,DEVOTE,LONG,
EFFECT,RECOIL,DICTATE,LOOK,
EFFECTIVE,REDUCTION,DICTATORIAL,LOOM,
