IndAdj,IPAdj,Apparel
COGENT,POISONOUS,onesies
COGNIZANT,QUARRELSOME,outerwear
COHERENT,REACTIVE,outfit?
COLOSSAL,REBELLIOUS,overalls
COMELY,RECEPTIVE,overcoat
COMESTIBLE,REPREHENSIBLE,overshirt
COMICAL,RUDE,pajamas
COMMENDABLE,SARCASTIC,pants
COMPLEMENTARY,SCORNFUL,pantsuit
COMPREHENSIVE,SELFISHNESS,pantyhose
CONCLUSIVE,SHAMEFUL,parka
CONDUCIVE,SHAMELESS,peplum
CONGESTED,SLANDEROUS,petticoat
CONTEMPTIBLE,SOCIABLE,pinafore
CONTEMPTUOUS,SPITEFUL,pleat
COUNTERFEIT,SUAVE,pocket?
COURAGEOUS,SUBMISSIVE,polo shirt
COVERT,SUPPORTIVE,poncho
COZY,SUSCEPTIBLE,pullover
CRAFTY,THANKFUL,pumps
CRANKY,TOLERABLE,purse
CRASS,TREASONOUS,raincoat
CREDIBLE,UNBEARABLE,ring?
CREDULOUS,UNCOUTH,robe
CROOKED,UNFAITHFUL,sandals
CRUDE,UNFRIENDLY,sari
CRUSHING,UNGRATEFUL,sarong
CULPABLE,UNKIND,scarf?
CUMBERSOME,UNPOPULAR,shawl
CURSORY,UNSELFISH,shirt
CUTE,WARLIKE,shoe?
CYNICISM,,shorts
DAMNABLE,,skirt
DAMNED,,slippers
DARING,,smock
DARLING,,sneakers
DAUNTING,,sock?
DAUNTLESS,,stockings
DEAF,,suit?
DECADENT,,sunbonnet
DECORATIVE,,sundress
DEFICIENT,,sunglasses
DEFINITIVE,,suspenders
DEJECTED,,sweater
DELINQUENT,,sweatpants
DEPLORABLE,,sweatshirt
DEPRAVED,,sweatsuit
DERISIVE,,swimsuit
DEROGATORY,,T-shirt
DESIROUS,,tie
DESPICABLE,,toga
DESTITUTE,,tights
DETESTABLE,,trousers
DETRIMENTAL,,trunks
DEVILISH,,tunic
DEVIOUS,,turban
DEVOUT,,turtleneck
DIABOLIC,,tutu
DIABOLICAL,,tux
DIGNIFIED,,tuxedo
DIRE,,underpants
DISCORDANT,,underclothes
DISCREPANT,,undershirt
DISEASED,,underwear
DISHEARTEN,,uniform?
DISORGANIZED,,veil
DISPROPORTIONATE,,vest
DISSATISFIED,,vestments
DISTINGUISHED,,visor
DISTRACTING,,waistcoat
DIZZY,,Wellingtons
DOUBTFUL,,wetsuit
DOWNCAST,,wig?
DOWNHEARTED,,
DRAB,,
DREARY,,
DROWSY,,
DRUNKEN,,
DYING,,
ECCENTRIC,,
ECSTATIC,,
EDIBLE,,
EGOTISTICAL,,
ELOQUENT,,
ENTHUSIASTIC,,
ENTREPRENEURIAL,,
ERRONEOUS,,
ESOTERIC,,
EVERLASTING,,
EXEMPT,,
EXHAUSTION,,
EXOTIC,,
EXQUISITE,,
EXTINCT,,
EXTRAORDINARY,,
EXUBERANT,,
FABULOUS,,
FACTUAL,,
FAKE,,
FAMISHED,,
FANATICAL,,
FARSIGHTED,,
FASCIST,,
FASHIONABLE,,
FATAL,,
FATALISTIC,,
FEARLESS,,
FEARSOME,,
FEASIBLE,,
FEROCIOUS,,
FERTILE,,
FERVENT,,
FESTIVE,,
FEUDAL,,
FICKLE,,
FIERCE,,
FIERY,,
FILTHY,,
FLAGRANT,,
FLASHY,,
FLAWLESS,,
FLEETING,,
FLIMSY,,
FLUENT,,
FOREBODING,,
FORLORN,,
FRAGILE,,
FRAGRANT,,
FRAUDULENT,,
FRAUGHT,,
FRETFUL,,
FRIGHTFUL,,
FRIGID,,
FRIVOLOUS,,
FRUGAL,,
FUSSY,,
GALLANT,,
GIDDY,,
GLAMOROUS,,
GLOSSY,,
GLUM,,
GODLIKE,,
GORGEOUS,,
GRATUITOUS,,
GRIM,,
GRIZZLY,,
GRUFF,,
GUILTY,,
HACKNEY,,
HAGGARD,,
HALLOWED,,
HAPLESS,,
HARDY,,
HAUGHTY,,
HAZY,,
HEALTHFUL,,
HEARTLESS,,
HECTIC,,
HEDONISTIC,,
HEEDLESS,,
HEINOUS,,
HEROIC,,
HILARIOUS,,
HORRID,,
HUMANITARIAN,,
HUMOROUS,,
IDIOTIC,,
IGNOBLE,,
ILLEGAL,,
ILLITERATE,,
ILLOGICAL,,
ILLUSTRIOUS,,
IMMACULATE,,
IMMATURE,,
IMMORAL,,
IMMORTAL,,
IMMOVABLE,,
IMPARTIAL,,
IMPATIENT,,
IMPERATIVE,,
IMPERFECT,,
IMPERVIOUS,,
IMPETUOUS,,
IMPRECISION,,
IMPROPER,,
IMPULSIVE,,
IMPURE,,
INADEQUATE,,
INANE,,
INCOMPETENT,,
INCONVENIENT,,
INCURABLE,,
INDECENT,,
INDESCRIBABLE,,
INDETERMINABLE,,
INDETERMINATE,,
INDICATIVE,,
INDIFFERENT,,
INDOMITABLE,,
INDUSTRIOUS,,
INEFFECTIVE,,
INEFFECTUAL,,
INEXPENSIVE,,
INFAMOUS,,
INGENIOUS,,
INHUMANE,,
INQUISITIVE,,
INSANE,,
INSENSIBLE,,
INSISTENT,,
INSOLENT,,
INSPIRATIONAL,,
INSTINCTIVE,,
INTRICATE,,
INUNDATED,,
INVALID,,
INVALUABLE,,
INVINCIBLE,,
INVISIBLE,,
INVOLUNTARY,,
INVULNERABLE,,
JITTERY,,
JOBLESS,,
JOLLY,,
JOYFUL,,
JUBILANT,,
JUMPY,,
LAME,,
LAMENTABLE,,
LAVISH,,
LAWFUL,,
LAWLESS,,
LIABLE,,
LIFELESS,,
LIFELONG,,
LIMP,,
LOWLY,,
LUCID,,
LUCRATIVE,,
LUDICROUS,,
LUMINOUS,,
LUSTROUS,,
LUXURIANT,,
LUXURIOUS,,
MAGICAL,,
MAJESTIC,,
MALIGNANT,,
MANAGEABLE,,
MANLY,,
MARVELOUS,,
MASTERFUL,,
MATCHLESS,,
MEAGER,,
MEASURABLE,,
MEDIOCRE,,
MEEK,,
MELANCHOLY,,
MELLOW,,
MEMORABLE,,
MENIAL,,
MERITORIOUS,,
MERRY,,
METICULOUS,,
MILD,,
MINDFUL,,
MINT,,
MIRACULOUS,,
MISCHIEVOUS,,
MISINFORMED,,
MOMENTOUS,,
MONOTONOUS,,
MONUMENTAL,,
MOODY,,
MORALISTIC,,
MOTIONLESS,,
MUDDY,,
MUNDANE,,
MURKY,,
NASTY,,
NAUGHTY,,
NAVIGABLE,,
NEBULOUS,,
NEEDY,,
NEGLIGENT,,
NEUROTIC,,
NIMBLE,,
NOISELESS,,
NONCHALANT,,
NOTABLE,,
NOTORIOUS,,
NOVICE,,
NUMB,,
OBLIQUE,,
OBSOLETE,,
OBSTINATE,,
OBTAINABLE,,
OFFENSIVE,,
OPINIONATED,,
OPPORTUNE,,
OPPRESSIVE,,
OPTIONAL,,
OUTRAGEOUS,,
OUTRIGHT,,
OVERBEARING,,
OVERJOYED,,
OVERWHELMING,,
OVERWORKED,,
PAINSTAKING,,
PALATABLE,,
PALATIAL,,
PALTRY,,
PARALYZED,,
PARAMOUNT,,
PARANOID,,
PASSE,,
PATHETIC,,
PATRIOTIC,,
PEACEABLE,,
PERILOUS,,
PERVERSE,,
PESSIMISTIC,,
PETTY,,
PICTURESQUE,,
PLAYFUL,,
PLEASURABLE,,
POETIC,,
POIGNANT,,
POINTLESS,,
POMPOUS,,
PORTABLE,,
POTENT,,
POWERLESS,,
PREEMINENT,,
PREJUDICIAL,,
PREMIUM,,
PREPARATORY,,
PREPOSTEROUS,,
PRETENTIOUS,,
PRICELESS,,
PRIMARILY,,
PRIME,,
PRIVILEGED,,
PRIVY,,
PROACTIVE,,
PRODIGIOUS,,
PROFICIENT,,
PROLIFIC,,
PROPRIETARY,,
PROSPEROUS,,
PROTECTIVE,,
PRUDENT,,
PUNCTUAL,,
PURPOSEFUL,,
QUEER,,
RADIANT,,
RASH,,
RECALCITRANT,,
REDUNDANT,,
REGAL,,
REGARDLESS,,
REGRETTABLE,,
RELIABLE,,
RELUCTANT,,
REPUGNANT,,
RESENTFUL,,
RESOLUTE,,
RESOLVED,,
RESOURCEFUL,,
RESPECTFUL,,
RESPLENDENT,,
RESTFUL,,
RESTLESS,,
REVERENT,,
RIGHTEOUS,,
RIGHTFUL,,
RIGID,,
RIGOROUS,,
RISKY,,
ROBUST,,
ROSY,,
ROTTEN,,
ROUGHNESS,,
ROUNDABOUT,,
RUINOUS,,
RUSTY,,
RUTHLESS,,
SAGE,,
SANGUINE,,
SANITARY,,
SAVAGE,,
SCANDALOUS,,
SCARY,,
SCRUPULOUS,,
SEDENTARY,,
SENILE,,
SENSELESS,,
SEVER,,
SHABBY,,
SHADY,,
SHAGGY,,
SHINY,,
SHODDY,,
SHORTSIGHTED,,
SHRILL,,
SIMPLISTIC,,
SINFUL,,
SKETCHY,,
SLEAZY,,
SLEEK,,
SLEEPLESS,,
SLOPPY,,
SLOTHFUL,,
SLUGGISH,,
SOBER,,
SOMBER,,
SORE,,
SORROWFUL,,
SOUR,,
SPEEDILY,,
SPOTLESS,,
SPRIGHTLY,,
STAGNANT,,
STALE,,
STATIC,,
STATUESQUE,,
STAUNCH,,
STERN,,
STORMY,,
STRAIGHTFORWARD,,
STRICKEN,,
STRINGENT,,
STUBBORNLY,,
STUDIOUS,,
STUPENDOUS,,
STYLISH,,
SUBLIME,,
SULLEN,,
SUMPTUOUS,,
SUPERFLUOUS,,
SUPERSTITIOUS,,
SWIFTNESS,,
SWORN,,
TABOO,,
TALENTED,,
TARDY,,
TEMPERATE,,
TEMPORARILY,,
TENACIOUS,,
TENSE,,
TERRIFIC,,
THERAPEUTIC,,
THIRSTY,,
THORNY,,
THOROUGH,,
THOUGHTLESS,,
THRIFTY,,
TIRESOME,,
TOPMOST,,
TORTUROUS,,
TOUCHY,,
TRAGIC,,
TRAUMATIC,,
TRIUMPHAL,,
TRIVIAL,,
TRUANT,,
TURBULENT,,
UNACCUSTOMED,,
UNARM,,
UNATTRACTIVE,,
UNBOUND,,
UNBROKEN,,
UNCIVIL,,
UNCLEAN,,
UNDERSTANDABLE,,
UNDESIRABLE,,
UNDIGNIFIED,,
UNEASY,,
UNECONOMICAL,,
UNEMPLOYED,,
UNFAMILIAR,,
UNFEELING,,
UNFORESEEN,,
UNFORGETTABLE,,
UNGUARDED,,
UNHAPPY,,
UNHEALTHY,,
UNHURRIED,,
UNIMPEACHABLE,,
UNINFORMED,,
UNJUST,,
UNLAWFUL,,
UNLIKE,,
UNLIMITED,,
UNMOVED,,
UNNATURAL,,
UNNOTICED,,
UNOBSERVED,,
UNPROFITABLE,,
UNREASONABLE,,
UNRULY,,
UNSAFE,,
UNSCRUPULOUS,,
UNSEEN,,
UNSETTLING,,
UNSOUND,,
UNSPEAKABLE,,
UNSUCCESSFUL,,
UNTIMELY,,
UNTOUCHED,,
UNTRAINED,,
UNTRUTH,,
UNWORTHY,,
UPBEAT,,
UPFRONT,,
USABLE,,
UTILITARIAN,,
UTTERMOST,,
VALIANT,,
VEHEMENT,,
VENERABLE,,
VENOMOUS,,
VERITABLE,,
VERSATILE,,
VEXING,,
VICTORIOUS,,
VIGILANT,,
VIVACIOUS,,
VOLATILE,,
VOLUNTARY,,
VULGAR,,
WANTON,,
WARMHEARTED,,
WARY,,
WASTEFUL,,
WAYWARD,,
WEARISOME,,
WEE,,
WEIRD,,
WHIMSICAL,,
WHOLESOME,,
WICKED,,
WILLFUL,,
WILY,,
WITTY,,
WOEFUL,,
WONDERFUL,,
WONDROUS,,
WORTH-WHILE,,
WORTHINESS,,
WRONGFUL,,
WROUGHT,,
