Virtue,Vice,Need,Means,Persist,Ought,IPAdj,IndAdj,RCEthic,RspTot,SklOth,Class_related
ALIGHT,AVARICIOUS,SCARCITY,DEMONSTRATION,STAUNCH,,COMMENSURATE,BALMY,FORGIVEN,COLONEL,FAILURE,
ALLEGIANCE,AVENGE,SELFISHNESS,DETERRENT,STAUNCHNESS,,COMMODIOUS,BANAL,FRAUD,COMMEND,FASHION,
ALLURE,AWFUL,SMITTEN,DISARMAMENT,STEADFAST,,COMMUNAL,BANKRUPT,GOOD-WILL,COMMENDABLE,FAULT,
ALMIGHTY,AWKWARD,STARVATION,DISPOSAL,STEADFASTNESS,,CONDESCENDING,BARBAROUS,GOODNESS,COMPLEMENT,FEATHER,
ALTRUISTIC,AWKWARDNESS,STARVE,DOUBT,STEADILY,,CONGENIAL,BARREN,GOODWILL,CONFIDE,FEMININE,
AMBITION,BACKWARDNESS,SUFFOCATE,DURABLE,STEADINESS,,CONGRATULATORY,BEASTLY,GREED,CONFIDENCE,FOOLISH,
AMBITIOUS,BAD,TAKE,EASY,SUCCESSION,,CONSIDERATE,BEAUTEOUS,GUILT,CONGRATULATE,FUTILE,
AMENABLE,BADLY,TEMPT,EFFECT,SUCCESSIVE,,CONTAGIOUS,BEFITTING,GUILTY,CONGRATULATION,FUTILITY,
AMIABILITY,BANAL,THANKFUL,END,TEND,,CORDIAL,BELATED,HAVE,COUNTRY,GAME,
AMIABLE,BANE,THIRST,EXACT,UNCHANGED,,CORROSIVE,BELLIGERENT,HEROISM,COURAGE,GENIUS,
AMICABLE,BANKRUPT,THIRSTY,EXPEDIENT,UNDERWAY,,CORRUPT,BERSERK,HONEST,COURAGEOUS,GIFTED,
ANGEL,BARBARIAN,URGE,EXPENSE,UNFAILING,,DEBATABLE,BESET,IMPARTIAL,COWARD,GRACIOUS,
ANGELIC,BARBAROUS,WANT,EXPERIENCE,UNWAVERING,,DECEITFUL,BITCHY,IMPOSTOR,CREDIT,HARD,
APPROPRIATE,BEASTLY,WANTON,EXPLORATION,USUAL,,DEFIANT,BIZARRE,INCUMBENT,CREDITABLE,IMAGINABLE,
APPROVE,BEAT,WISH,FACILITY,,,DEPENDENT,BLAMELESS,INDICTMENT,CRITICISM,IMAGINATION,
APT,BEREAVEMENT,WISHFUL,FACULTY,,,DICTATORIAL,BLAND,INDIGNANT,CRITICIZE,IMAGINATIVE,
APTITUDE,BESIDE,YEARN,FAVOR,,,DISHONEST,BLATANT,INEQUITABLE,CROWN,IMPOSSIBLE,
ARREST,BIZARRE,,FOOT,,,DISINGENUOUS,BLINDNESS,INEQUITY,CULTIVATE,IMPRACTICAL,
ASSIST,BLAME,,FORMATION,,,DISOBEDIENT,BLISSFUL,INFAMOUS,DEGRADE,INCAPACITY,
ASSISTANCE,BLEAK,,FORMULATE,,,DISTRUSTFUL,BLITHE,INJUSTICE,DEVIANT,INCOMPETENCE,
ASSUREDNESS,BLEMISH,,FREE,,,ENVIOUS,BLOCKHEAD,INNOCENCE,DIGNITY,INCORRECT,
ASTUTE,BLIND,,FUND,,,ESTRANGED,BOASTFUL,INNOCENT,DISAPPROVE,INEPT,
ATHLETIC,BLINDNESS,,GRADUATE,,,FILIAL,BOGUS,INTEGRITY,DISCRIMINATION,INNOVATION,
ATTRACTIVE,BLOCKHEAD,,GROUND,,,GULLIBLE,BOISTEROUS,IRRESPONSIBLE,DISCRIMINATORY,INVENT,
AUTHENTIC,BOARD,,GUESS,,,HARMONIOUS,BONNY,JUSTICE,DISGRACE,INVENTION,
AUTHENTICITY,BOAST,,HAND,,,HURTFUL,BOUNDLESS,JUSTIFIABLE,DISTINGIUSH,INVENTIVE,
AUTHORITATIVE,BOASTFUL,,IDENTIFICATION,,,INACCESSIBLE,BOUNTIFUL,JUSTIFIABLY,DISTINGUISH,JEWEL,
AUTONOMY,BOGUS,,IMAGE,,,INSEPARABLE,BRAINY,JUSTIFICATION,DOUBLE,JOB,
AVAILABILITY,BONDAGE,,IMPLEMENTATION,,,INTOLERABLE,BRAT,LIAR,DR,JUDGMENT,
AVAILABLE,BORE,,INCIDENTAL,,,IRRESISTIBLE,BRAZEN,LIBERATE,DR.,JUDICIOUS,
BASIC,BOREDOM,,INDIRECT,,,LAUDABLE,BRITTLE,LIE,EDUCATED,JUNGLE,
BEACON,BOTHER,,INDISPENSABLE,,,LIKABLE,BRUTISH,MANNER,ELDER,KITCHEN,
BEAUTY,BOTHERSOME,,INFORM,,,LONESOME,BUOYANT,MISBEHAVIOR,ELDEST,LABOR,
BEHALF,BOUND,,INSTRUMENTAL,,,MAGNETIC,CAREFREE,MISTREATMENT,ENTITLE,LAY,
BENEFACTOR,BOW,,INSURANCE,,,MALICIOUS,CEASELESS,MORAL,EQUALITY,MACHINE,
BENEFICENT,BRAT,,INTEGRATION,,,MERCIFUL,CEREMONIAL,MORALITY,EXCLUSIVE,MACHINERY,
BENEFICIAL,BRIBE,,INVENTORY,,,MERCILESS,CHAFE,NOTORIOUS,EXCLUSIVENESS,MANAGE,
BENEVOLENCE,BROKE,,INVOLVE,,,MURDEROUS,CHAOTIC,OATH,FACE,MANAGERIAL,
BENEVOLENT,BRUTALITY,,JOB,,,NOSEY,CHASTE,OBLIGATION,FAME,MEDICINE,
BENIGN,BRUTE,,JUDGMENT,,,OBEDIENT,CHIC,OBLIGE,FAMOUS,MEDIOCRE,
BEST,BRUTISH,,KEEP,,,OUTGOING,CHILDISH,OFFENCE,FLAG,MIRACLE,
BETTER,BURDEN,,LEAD,,,PEERLESS,CLAMOROUS,OUTRAGE,FLOOR,MISTAKE,
BLAMELESS,BURDENSOME,,LIVELIHOOD,,,PERSUASIVE,CLUMSY,PENALTY,FOOL,MODERN,
BLESS,BURN,,MAINTENANCE,,,PITIFUL,COARSE,PLEDGE,FOREMOST,MODERNIZATION,
BOARD,BUSYBODY,,MAKE,,,PITILESS,COCKY,PRETENCE,FORMAL,NURSE,
BOLD,BUTCHERY,,MANEUVER,,,POISONOUS,COGENT,PRETENSION,FUN,OCCUPATION,
BOLDNESS,CAPITAL,,MANNER,,,QUARRELSOME,COGNIZANT,PRINCIPLE,GENTLEMAN,OCCUPATIONAL,
BONNY,CAPRICIOUS,,MANPOWER,,,REACTIVE,COHERENT,PROCTOR,GENTLEMEN,OUTSTANDING,
BRAVE,CARELESS,,MEAN,,,REBELLIOUS,COLOSSAL,PROMISE,GIVE,PACE,
BRAVERY,CARELESSNESS,,MEASURE,,,RECEPTIVE,COMELY,RECTITUDE,GRATEFUL,PAINT,
BROTHERHOOD,CARRY,,METHOD,,,REPREHENSIBLE,COMESTIBLE,REGRET,GRATITUDE,PARACHUTE,
BUSY,CATASTROPHE,,METHODICAL,,,RUDE,COMICAL,RESPONSIBILITY,GREATNESS,PERFORM,
BUY,CATCH,,MODE,,,SARCASTIC,COMMENDABLE,RESPONSIBLE,GROW,PERFORMANCE,
CAPABLE,CHAOS,,MOVABLE,,,SCORNFUL,COMPLEMENTARY,RIGHT,GUEST,PLAY,
CAPITAL,CHAOTIC,,NECESSARY,,,SELFISHNESS,COMPREHENSIVE,RIGHTEOUS,HERO,PRACTICABLE,
CAREFUL,CHEAP,,NECESSITY,,,SHAMEFUL,CONCLUSIVE,RIGHTEOUSNESS,HEROIC,PRACTICAL,
CASUAL,CHEATER,,NEGLECT,,,SHAMELESS,CONDUCIVE,RIGHTFUL,HEROINE,PRACTICE,
CAUTIOUS,CHILDISH,,NETWORK,,,SLANDEROUS,CONGESTED,RUE,HOMAGE,PRECISION,
CERTAIN,CHRONIC,,NORM,,,SOCIABLE,CONTEMPTIBLE,SATISFACTORILY,HONOR,PREPARE,
CHARACTER,CIRCLE,,OMISSION,,,SPITEFUL,CONTEMPTUOUS,SCANDAL,HONORABLE,PREREQUISITE,
CHARISMA,CLAMOR,,OPERATIONAL,,,SUAVE,COUNTERFEIT,SCANDALOUS,HOST,PRODUCT,
CHARITABLE,CLUMSY,,OPERATIVE,,,SUBMISSIVE,COURAGEOUS,SHRANK,HOSTESS,PROMISE,
CHARITY,CLUTTER,,ORDER,,,SUPPORTIVE,COVERT,SHRINK,HUMBLE,QUALIFICATION,
CHARM,COARSENESS,,PATTERN,,,SUSCEPTIBLE,COZY,SHRUNK,HUMILITY,QUALIFY,
CHASTE,COCKINESS,,PAYMENT,,,THANKFUL,CRAFTY,SINCERE,IMMATURE,QUALITY,
CHERISH,COERCION,,PAYROLL,,,TOLERABLE,CRANKY,SINCERITY,IMMATURITY,RACE,
CHERUB,COMMISERATION,,PICK,,,TREASONOUS,CRASS,SORRY,IMPRESS,RATIONAL,
CHIVALROUS,COMMOTION,,PLAN,,,UNBEARABLE,CREDIBLE,SUPPOSE,IMPRESSIVE,RESUME,
CHIVALRY,COMPLICATION,,PREPARE,,,UNCOUTH,CREDULOUS,TELLING,INDIVIDUALITY,SENSITIVE,
CHOSEN,COMPLICITY,,PREREQUISITE,,,UNFAITHFUL,CROOKED,TEMPTATION,INEQUALITY,SERIOUS,
CIVILITY,CONCEIT,,PRESERVATION,,,UNFRIENDLY,CRUDE,TRUST,INFERIORITY,SHOOT,
CLEAN,CONDEMNATION,,PRESS,,,UNGRATEFUL,CRUSHING,TRUTHFUL,INFORMAL,SKILL,
CLEANLINESS,CONDESCENDING,,PRIORITY,,,UNKIND,CULPABLE,UNFAIR,INSINUATE,SKILLFUL,
CLEVER,CONDESCENSION,,PROBE,,,UNPOPULAR,CUMBERSOME,UNGRATEFUL,INSINUATION,SLAVE,
CO-OPERATION,CONFINEMENT,,PROCEDURAL,,,UNSELFISH,CURSORY,UNJUST,INSULT,SLY,
COLLABORATION,CONFISCATION,,PROCEDURE,,,WARLIKE,CUTE,UNJUSTIFIED,INTOLERANCE,SMART,
COLLECT,CONFRONTATION,,PROCUREMENT,,,,CYNICISM,UNTRUSTWORTHY,JANITOR,SPLENDID,
COMMENDABLE,CONFUSE,,PRODUCTION,,,,DAMNABLE,VICE,JUNIOR,SPLENDOR,
COMMITMENT,CONFUSION,,PROGRAM,,,,DAMNED,VIOLATE,JUVENILE,SPORT,
COMMON,CONSTERNATION,,PROJECT,,,,DARING,VIOLATION,KID,SQUANDOR,
COMPASSION,CONSUMPTIVE,,PROVISION,,,,DARLING,WICKED,KNEEL,STUPID,
COMPASSIONATE,CONTAMINATION,,QUALIFICATION,,,,DAUNTING,WORTHINESS,KNELT,TALENT,
COMPATIBLE,CONTEMPT,,QUEST,,,,DAUNTLESS,WORTHY,KNOWN,TASK,
COMPENSATION,CONTEMPTIBLE,,READY,,,,DEAF,WRONG,LADY,TECHNIQUE,
COMPETENCE,CONTEMPTUOUS,,RECONSTRUCTION,,,,DECADENT,,LAUGH,TECHNOLOGY,
COMPETENT,CORRUPT,,RECRUITMENT,,,,DECORATIVE,,LIMOUSINE,TOIL,
COMPETITIVE,CORRUPTION,,REDEVELOPMENT,,,,DEFICIENT,,LIVE,TOUCH,
COMPLETENESS,COSTLY,,REGARD,,,,DEFINITIVE,,LORD,TRAIN,
COMPOSURE,COUNTERFEIT,,REMEDY,,,,DEJECTED,,LOSER,TRICK,
CONDITION,COVERT,,RENTAL,,,,DELINQUENT,,MATURE,UNABLE,
CONFORMITY,CRAFTY,,REPAIR,,,,DEPLORABLE,,MATURITY,UNATTRACTIVE,
CONGENIAL,CRASH,,REPRESENTATIVE,,,,DEPRAVED,,MEDAL,VAIN,
CONSCIENCE,CRASS,,REQUIRE,,,,DERISIVE,,MERIT,VOCATIONAL,
CONSCIENTIOUS,CRAZE,,REQUIREMENT,,,,DEROGATORY,,MISTER,WALK,
CONSIDERATE,CRAZINESS,,REQUISITE,,,,DESIROUS,,MISTREAT,WORK,
CONSISTENCY,CRAZY,,RESERVATION,,,,DESPICABLE,,MOCK,,
CONSISTENT,CREEP,,RESERVE,,,,DESTITUTE,,MODEST,,
CONSTRUCTIVE,CRISIS,,RESOURCE,,,,DETESTABLE,,MONUMENT,,
CONTEMPLATION,CROOK,,RETAIL,,,,DETRIMENTAL,,NAME,,
CONTROL,CROOKED,,RETIREMENT,,,,DEVILISH,,NOBLE,,
CONVENIENCE,CRUEL,,REVENUE,,,,DEVIOUS,,NOTABLE,,
CONVENIENT,CRUELTY,,REVIEW,,,,DEVOUT,,NOTE,,
CONVENTIONAL,CULPRIT,,RIGHT,,,,DIABOLIC,,NOTEWORTHY,,
CONVICTION,CURSORY,,RISK,,,,DIABOLICAL,,OFFEND,,
COOPERATION,CYNICAL,,ROOM,,,,DIGNIFIED,,PAY,,
COOPERATIVE,CYNICISM,,ROUTINE,,,,DIRE,,PEASANT,,
COORDINATION,DAMAGE,,SALARY,,,,DISCORDANT,,PEER,,
CORDIAL,DAMNABLE,,SALE,,,,DISCREPANT,,PERSONAL,,
CORRECT,DAMNED,,SALESMANSHIP,,,,DISEASED,,PICK,,
COURAGE,DANGER,,SAVE,,,,DISHEARTEN,,PLAQUE,,
COURAGEOUS,DANGEROUS,,SAY,,,,DISORGANIZED,,PLEASE,,
COURTEOUS,DEADLY,,SCHEDULE,,,,DISPROPORTIONATE,,POISE,,
COURTESY,DEADWEIGHT,,SCHEME,,,,DISSATISFIED,,POLITE,,
COURTLY,DEARTH,,SCORE,,,,DISTINGUISHED,,PREJUDICE,,
COVER,DECADENCE,,SEARCH,,,,DISTRACTING,,PRESTIGE,,
CREATIVE,DECADENT,,SHARE,,,,DIZZY,,PRIDE,,
CREATIVITY,DECEIT,,SHIPMENT,,,,DOUBTFUL,,PRIVACY,,
CULTIVATE,DECEITFUL,,SHOP,,,,DOWNCAST,,PRIVATE,,
CULTURE,DECEIVE,,SOMEHOW,,,,DOWNHEARTED,,PRIVILEGE,,
CUT,DECEPTION,,SOMETHING,,,,DRAB,,PRIZE,,
CUTE,DEFEAT,,SPEAK,,,,DREARY,,PROPRIETY,,
DARING,DEFECT,,STAGE,,,,DROWSY,,PROUD,,
DECENCY,DEFECTIVE,,STAKE,,,,DRUNKEN,,QUEEN,,
DECENT,DEFIANCE,,STAND,,,,DYING,,RASCAL,,
DECISIVE,DEFIANT,,STATUS,,,,ECCENTRIC,,REBUKE,,
DEDICATE,DEFICIENCY,,STEP,,,,ECSTATIC,,RECKLESS,,
DEDICATION,DEFICIENT,,STOCK,,,,EDIBLE,,REGARD,,
DEEP,DEGENERATE,,STORE,,,,EGOTISTICAL,,RENOWN,,
DEMAND,DELINQUENCY,,STRATEGIC,,,,ELOQUENT,,REPUDIATE,,
DEPENDABILITY,DELINQUENT,,STRATEGY,,,,ENTHUSIASTIC,,REPUGNANT,,
DEPENDABLE,DELIRIUM,,STUDY,,,,ENTREPRENEURIAL,,REPUTABLE,,
DESIRABLE,DELUSION,,SUBSTITUTE,,,,ERRONEOUS,,REPUTATION,,
DESIRE,DEMAND,,SUPPLEMENT,,,,ESOTERIC,,RESPECT,,
DIGNITY,DEMON,,SURVEY,,,,EVERLASTING,,RESPECTABLE,,
DILIGENT,DEPENDENCE,,SYSTEMATIC,,,,EXEMPT,,REVERENCE,,
DISCIPLINE,DEPLORABLE,,SYSTEMATICALLY,,,,EXHAUSTION,,RIDE,,
DISCREET,DEPRAVED,,TABLE,,,,EXOTIC,,RIDICULE,,
DISCRETION,DEPRESS,,TACTIC,,,,EXQUISITE,,RIDICULOUS,,
DISTINGUISH,DERISION,,TACTICAL,,,,EXTINCT,,ROYAL,,
DIVINE,DERISIVE,,TACTICS,,,,EXTRAORDINARY,,ROYALTY,,
DIVINITY,DESERTION,,TASK,,,,EXUBERANT,,SANCTITY,,
DOUBT,DESOLATE,,TECHNIQUE,,,,FABULOUS,,SATIRE,,
DOUBTLESS,DESOLATION,,TENACITY,,,,FACTUAL,,SCOLD,,
DUE,DESPICABLE,,TEST,,,,FAKE,,SELF-RESPECT,,
DUTY,DESPISE,,THERAPY,,,,FAMISHED,,SELFISH,,
DYNAMIC,DESTRUCTION,,TOUCH,,,,FANATICAL,,SENIOR,,
EASY,DESTRUCTIVE,,TREATMENT,,,,FARSIGHTED,,SERVE,,
ECONOMICAL,DETACHMENT,,TRUST,,,,FASCIST,,SHAKE,,
EDGE,DETESTABLE,,TRY,,,,FASHIONABLE,,SHAME,,
EDUCATED,DETRIMENTAL,,UNAVOIDABLE,,,,FATAL,,SHOW,,
EFFECTIVE,DEVASTATION,,UNDERTAKE,,,,FATALISTIC,,SHUT,,
EFFECTIVENESS,DIFFICULT,,USE,,,,FEARLESS,,SIR,,
EFFICACY,DIFFICULTY,,UTILITY,,,,FEARSOME,,SLANDERER,,
EFFICIENCY,DILEMMA,,VALUATION,,,,FEASIBLE,,SLIGHT,,
EFFICIENT,DIRE,,VENTURE,,,,FEROCIOUS,,SPECTACLE,,
ELEGANCE,DISADVANTAGE,,WAGE,,,,FERTILE,,STAND,,
ELEGANT,DISADVANTAGEOUS,,WANT,,,,FERVENT,,STATELY,,
ELIGIBLE,DISAPPOINT,,WAR,,,,FESTIVE,,STATESMAN,,
ELOQUENT,DISAPPROVAL,,WAY,,,,FEUDAL,,STATESMEN,,
EMINENT,DISASTER,,WORK,,,,FICKLE,,STATUS,,
ENCHANT,DISASTROUS,,,,,,FIERCE,,STAUNCH,,
ENCOURAGE,DISCORD,,,,,,FIERY,,STIGMA,,
ENCOURAGEMENT,DISCOURAGEMENT,,,,,,FILTHY,,SUBLIME,,
ENJOYABLE,DISCRIMINATION,,,,,,FLAGRANT,,SWEAR,,
ENJOYMENT,DISDAIN,,,,,,FLASHY,,SWORE,,
ENLIGHTEN,DISGRACE,,,,,,FLAWLESS,,TEMERITY,,
EQUALITY,DISINTEREST,,,,,,FLEETING,,TERM,,
EQUITABLE,DISMAL,,,,,,FLIMSY,,THRONE,,
ESSENTIAL,DISOBEDIENCE,,,,,,FLUENT,,TOLERANCE,,
ESTABLISH,DISOBEDIENT,,,,,,FOREBODING,,TOLERANT,,
ETHICAL,DISORDER,,,,,,FORLORN,,TRADITION,,
EVALUATION,DISORGANIZED,,,,,,FRAGILE,,TRADITIONAL,,
EXACT,DISPUTABLE,,,,,,FRAGRANT,,TRIBUTE,,
EXCELLENCE,DISRUPTION,,,,,,FRAUDULENT,,TRUSTWORTHY,,
EXCELLENT,DISSATISFACTION,,,,,,FRAUGHT,,UNFORTUNATE,,
EXCEPTIONAL,DISSENT,,,,,,FRETFUL,,UNRELIABLE,,
EXCLUSIVE,DISSENTION,,,,,,FRIGHTFUL,,UNWORTHY,,
EXPERIENCE,DISTRACTION,,,,,,FRIGID,,VALOR,,
EXPERT,DISTURB,,,,,,FRIVOLOUS,,VENGEANCE,,
EXTRAORDINARY,DISTURBANCE,,,,,,FRUGAL,,VOW,,
FAIR,DOLDRUMS,,,,,,FUSSY,,VULGAR,,
FAIRNESS,DOMINANT,,,,,,GALLANT,,WAY,,
FAITH,DOMINATION,,,,,,GIDDY,,WHITE,,
FAITHFUL,DOOM,,,,,,GLAMOROUS,,WORTH,,
FAITHFULNESS,DOPE,,,,,,GLOSSY,,,,
FANCY,DOUBLE,,,,,,GLUM,,,,
FANTASTIC,DOUBTFUL,,,,,,GODLIKE,,,,
FAVOR,DRAB,,,,,,GORGEOUS,,,,
FAVORABLE,DREADFUL,,,,,,GRATUITOUS,,,,
FAVORITE,DREARY,,,,,,GRIM,,,,
FELLOWSHIP,DRUNK,,,,,,GRIZZLY,,,,
FINE,DRUNKARD,,,,,,GRUFF,,,,
FIT,DRUNKEN,,,,,,GUILTY,,,,
FLAIR,DUBIOUS,,,,,,HAGGARD,,,,
FLAWLESS,DUNCE,,,,,,HALLOWED,,,,
FLUENT,EGOTISTICAL,,,,,,HAPLESS,,,,
FOLKSY,EMBARRASSMENT,,,,,,HARDY,,,,
FOND,ENVIOUS,,,,,,HAUGHTY,,,,
FOREMOST,ENVY,,,,,,HAZY,,,,
FORESIGHT,EQUIVOCAL,,,,,,HEALTHFUL,,,,
FORGIVENESS,EVIL,,,,,,HEARTLESS,,,,
FORTITUDE,EXCESSIVE,,,,,,HECTIC,,,,
FORTUNATE,EXPENSIVE,,,,,,HEDONISTIC,,,,
FORTUNE,EXTRAVAGANT,,,,,,HEEDLESS,,,,
FRANK,FABRICATION,,,,,,HEINOUS,,,,
FREE,FAIL,,,,,,HEROIC,,,,
FREEDOM,FAILURE,,,,,,HILARIOUS,,,,
FRIENDLY,FALSE,,,,,,HORRID,,,,
FRIENDSHIP,FANATIC,,,,,,HUMANITARIAN,,,,
FRUITFUL,FANATICAL,,,,,,HUMOROUS,,,,
FUNNY,FAULT,,,,,,IDIOTIC,,,,
GALLANT,FEEBLE,,,,,,IGNOBLE,,,,
GALLANTRY,FEVER,,,,,,ILLEGAL,,,,
GENEROSITY,FIGHT,,,,,,ILLITERATE,,,,
GENEROUS,FILTH,,,,,,ILLOGICAL,,,,
GENTLE,FILTHY,,,,,,ILLUSTRIOUS,,,,
GENUINE,FIX,,,,,,IMMACULATE,,,,
GIFTED,FOOLISH,,,,,,IMMATURE,,,,
